epoch,lr,loss,iou,dice,val_loss,val_iou,val_dice
0.0,1e-05,1.176600378087564,0.0012776078840418972,0.001298239281489194,1.1552837749452114,9.018235918594723e-09,0.0013736974681496975
1.0,1e-05,1.1495124065410212,0.02661229985236295,0.001559056257591468,1.1425556305446916,0.12422210283325098,0.001826559425801945
2.0,1e-05,1.1374240925619123,0.26241893409781586,0.002211825645864876,1.1316942721929946,0.18353929117837484,0.002607445494311626
3.0,1e-05,1.1262529905556597,0.28599029813159726,0.0033002005561172812,1.1216487791024001,0.19984322518512504,0.003312961497021461
4.0,1e-05,1.115964766176668,0.3259903604253396,0.003911867530584523,1.1116589318173644,0.23445285474351932,0.0038122281006787557
5.0,1e-05,1.1063307263226654,0.36161289903543803,0.004402302880935159,1.1005418555149584,0.2633900634844276,0.004037814723451027
6.0,1e-05,1.096920575488321,0.3872214876924251,0.004914744364709789,1.0924941210445496,0.15498652451384418,0.005005128301781269
7.0,1e-05,1.0878040578361876,0.4006865683038406,0.0054256988010862395,1.0777368168945147,0.27836161680202376,0.005244415123829804
8.0,1e-05,1.0792918489914383,0.419121393231394,0.006025708443473348,1.075746324327257,0.3215622912624909,0.005436974462507401
9.0,1e-05,1.0714201183636523,0.4336820386570882,0.006652303542288471,1.069351412372132,0.21551764704521167,0.006479162988280682
10.0,1e-05,1.064054250544646,0.4406504288655739,0.007312322927140562,1.063294420574745,0.3433404437239228,0.005655418199754001
11.0,1e-05,1.0570874816256908,0.4510756429372298,0.008055654189685377,1.055720096579824,0.31533032253590515,0.0070124508440386
12.0,1e-05,1.0505302407807102,0.4544910659726793,0.008853677205150418,1.0537825820233049,0.34390907564139706,0.006489650044397102
13.0,1e-05,1.044262764940386,0.4549597303108958,0.009781784783539612,1.0430987179928615,0.3056185082670799,0.008181587134613833
14.0,1e-05,1.0380531437317646,0.46486923530146657,0.010864272520326736,1.037356581563264,0.35127874592900216,0.008811355069250671
15.0,1e-05,1.0320018583372257,0.4709082089215276,0.012110804367856736,1.0339589817591481,0.3344968580364184,0.009339078364337616
16.0,1e-05,1.0264205563430675,0.4642586598925648,0.013414977346304573,1.0262018852503991,0.29991985927317877,0.01136923851679775
17.0,1e-05,1.020921595448523,0.47399098005914886,0.014979408213031764,1.0219532996740737,0.3178956482232881,0.011510962523780865
18.0,1e-05,1.0156114558580125,0.4784489467361255,0.016717183180485942,1.0175771396404258,0.33686419774995563,0.01264124219819047
19.0,1e-05,1.0103462523903413,0.48449826936579526,0.018731071541492162,1.0113631055765422,0.3362909903292286,0.014870674318178637
20.0,1e-05,1.0053293716200182,0.47054114051936713,0.02088603206696878,1.004742965459304,0.3300939062314938,0.01845081098209544
21.0,1e-05,0.9999601364825811,0.4806807781660399,0.023569116884925453,1.0033261095516561,0.35129129388675995,0.01850554311416099
22.0,1e-05,0.9945934596006502,0.4886219433521715,0.02657055894602116,0.9999500876678101,0.3139234337537832,0.02033339027856122
23.0,1e-05,0.9892927975799516,0.47611226091999914,0.029848812100946743,0.9994264324246409,0.27616028134162196,0.019324567675781647
24.0,1e-05,0.9834399614078781,0.48476594364209935,0.03382681824125637,0.9884846114385102,0.3648200722691123,0.02728964039899754
25.0,1e-05,0.9772514153147916,0.4873265416661446,0.038385213519892346,0.9820418421479352,0.33357587449545256,0.031284951390516534
26.0,1e-05,0.9705123303595569,0.49888366446230115,0.04357119254845641,0.9783828740286152,0.3564491562707421,0.0344361856390046
27.0,1e-05,0.9631023720100889,0.5155325650581991,0.04940685285880687,0.9765165733875533,0.3579556340816359,0.03527740884614291
28.0,1e-05,0.9558286769517769,0.4930637623260623,0.05544804779860877,0.9633164356476861,0.317875957868485,0.04798930307555981
29.0,1e-05,0.9466471855788776,0.5223039813685731,0.06264761599393866,0.9628292846783574,0.36601155163835686,0.04746484338007844
30.0,1e-05,0.9372234209056528,0.5173066408020275,0.06936177106406734,0.9491206551688949,0.3074156755577153,0.06050770846762852
31.0,1e-05,0.9268891836385823,0.518679529504818,0.07664454709282492,0.9482803129162923,0.3550238763322619,0.06139382704122726
32.0,1e-05,0.914645005152298,0.535580518786643,0.08266138604023253,0.9405461009551237,0.3667776478263134,0.06955964778181424
33.0,1e-05,0.9012204067924433,0.5403392229265592,0.0822362667206965,0.9272547346054858,0.3724975337812852,0.08250646668064474
34.0,1e-05,0.8868470353259019,0.5507907271614909,0.08351178544286035,0.8970709036638015,0.3679501043907122,0.11191864261605941
35.0,1e-05,0.8721158911626349,0.5518826125562796,0.08622763613608984,0.8980963049630973,0.3615619081215927,0.1119187889262635
36.0,1e-05,0.8562368406400667,0.5432933504077785,0.08861903139023423,0.8833348558878846,0.36493768936013476,0.12714201652717047
37.0,1e-05,0.8368999502593287,0.5704443137933247,0.08799154244758131,0.8823619906938673,0.37453408861442933,0.12750458377153662
38.0,1e-05,0.8178678485315547,0.5802723842957367,0.08967877593377192,0.8678927187826119,0.3727979420843129,0.1408292351025594
39.0,1e-05,0.7988550595712731,0.5794362921754279,0.09397837520891379,0.8478513670383195,0.3495674111619304,0.16466378018374067
40.0,1e-05,0.7776760006088942,0.5882982098531868,0.10067324616419102,0.8617059209248079,0.380439498277701,0.14890659269778483
41.0,1e-05,0.7559964803469337,0.6001905165871991,0.11949506646956613,0.8571288928486942,0.3611135177312874,0.15485621599603305
42.0,1e-05,0.7350494003330402,0.6075425567596039,0.15638655979342253,0.8174550930658976,0.3714923438034128,0.1973457457062807
43.0,1e-05,0.7117855942197543,0.6162037816403512,0.1718804158464085,0.8097589241912941,0.3823521113547987,0.22036739383217982
44.0,1e-05,0.6882647934077273,0.6313747088095764,0.22870059910316057,0.8246054606500015,0.345652349870123,0.21300910500640804
45.0,1e-05,0.6649698758694611,0.6403469709082948,0.32921701913271745,0.7796793831979008,0.39243420469782536,0.26404833321244814
46.0,1e-05,0.638230659078413,0.6497926064308561,0.4159813238565894,0.7567288636641825,0.396963362140719,0.29046011424088447
47.0,1e-05,0.61073081193198,0.6700898287541733,0.5191364439083104,0.7466813205114378,0.38728867786573334,0.3053661067618985
48.0,1e-05,0.5838267153665402,0.6740346916464125,0.5557721411835471,0.7834667819257914,0.33803755554704507,0.2742465098433529
49.0,1e-05,0.5586161001028787,0.6732090418363368,0.5843647960175626,0.7134705607278155,0.3848597007728521,0.3429200592964611
50.0,1e-05,0.5286715270900174,0.6859864115577503,0.6171455094867876,0.7180777165494973,0.3918671701370881,0.3493188149826374
51.0,1e-05,0.5020540048693093,0.6935429227805643,0.6459952556461391,0.6917980532760454,0.3949456115049586,0.3768999981536585
52.0,1e-05,0.4798462750166439,0.6931526089847931,0.6680919221047869,0.6875459127176821,0.3930210976645528,0.38970914274665797
53.0,1e-05,0.45704542719334496,0.6934896060847968,0.6862960427395621,0.6635661252443567,0.3841190425759262,0.4098841357431233
54.0,1e-05,0.4329029485346094,0.7002106689799342,0.7083591841431897,0.6827351423000718,0.3739518385076531,0.39889202154105496
55.0,1e-05,0.4153896099881049,0.6975851119466793,0.7227770706171073,0.6580468917464379,0.3905549983161631,0.4244649416035668
56.0,1e-05,0.39526303067221136,0.7059303723212915,0.741205472907291,0.6312937622236531,0.3948286009511614,0.44776700506419576
57.0,1e-05,0.37646284509671235,0.7041972013281473,0.7520154047699885,0.645676100630646,0.39079883958753653,0.4366001286444392
58.0,1e-05,0.36244402567056777,0.7061894531253229,0.7632841581370795,0.6393228957595908,0.38079090834499457,0.44705815281478045
59.0,1e-05,0.34856148029633094,0.7087340433942702,0.7738847156318089,0.6515918860053704,0.38482202094383205,0.45225723767248177
60.0,1e-05,0.32672024799669874,0.714869220609643,0.7849130758664873,0.6297514399022578,0.37992459325914196,0.46256815880303326
61.0,1e-05,0.3158451249302727,0.7170479634343718,0.7930390251674863,0.6176324823712991,0.3820719526707609,0.46956902881865564
